site,variable,statCd
99640,00060,00003
99704,00060,00003
99707,00060,00003
99708,00060,00003
99737,00060,00003
99741,00054,32400
99743,00060,00003
99751,00060,00003
99785,00060,00003
216855,00054,32400
99788,00060,00003
99959,00060,00003
99961,00060,00003
295590,00060,00003
231201,72019,00001
100962,72019,00002
231200,72019,00003
231203,72019,00001
100963,72019,00002
231204,72019,00003
231206,72019,00001
100964,72019,00002
231207,72019,00003
