site,variable,statCd
113429,00060,00003
113437,00060,00003
113733,00060,00003
113735,00060,00003
113740,00060,00003
113793,00060,00003
113880,00060,00003
113894,00060,00003
113917,00060,00003
113937,00060,00003
113985,00060,00003
114004,00060,00003
114038,00060,00003
114049,00060,00003
114062,00060,00003
114088,00060,00003
114132,00060,00003
114291,00060,00003
114292,00060,00003
114294,00060,00003
115975,72019,00003
