site,variable,statCd
81801,00060,00003
81809,00060,00003
81819,00060,00003
44935,00060,00003
44939,00060,00003
44940,00065,00003
44946,00065,00003
44983,00060,00003
44988,00065,00003
227989,00060,00003
82033,00060,00003
44995,00060,00003
45000,00060,00003
45005,00065,32400
45015,00060,00003
